track_width [mm],Freq [GHz],"dB(S(2,1)) []",Loss / cm,
0.2185,15.75,-0.233790298,0.233790298,
0.2185,15.875,-0.235183778,0.235183778,
0.2185,16,-0.236580227,0.236580227,
0.2185,16.125,-0.237980245,0.237980245,
0.2185,16.25,-0.239384375,0.239384375,
0.2185,16.375,-0.240793093,0.240793093,
0.2185,16.5,-0.242206803,0.242206803,
0.2185,16.625,-0.243625828,0.243625828,
0.2185,16.75,-0.245050409,0.245050409,
0.2185,16.875,-0.246480695,0.246480695,
0.2185,17,-0.247916744,0.247916744,
0.2185,17.125,-0.249358518,0.249358518,
0.2185,17.25,-0.250805883,0.250805883,
0.2185,17.375,-0.252258608,0.252258608,
0.2185,17.5,-0.253716369,0.253716369,
0.2185,17.625,-0.255178752,0.255178752,
0.2185,17.75,-0.256645257,0.256645257,
0.2185,17.875,-0.258115306,0.258115306,
0.2185,18,-0.259588252,0.259588252,
0.2185,18.125,-0.261063388,0.261063388,
0.2185,18.25,-0.262539958,0.262539958,
0.2185,18.375,-0.264017165,0.264017165,
0.2185,18.5,-0.265494191,0.265494191,
0.2185,18.625,-0.266970197,0.266970197,
0.2185,18.75,-0.268444345,0.268444345,
0.2185,18.875,-0.269915801,0.269915801,
0.2185,19,-0.271383745,0.271383745,
0.2185,19.125,-0.272847381,0.272847381,
0.2185,19.25,-0.274305942,0.274305942,
0.2185,19.375,-0.275758694,0.275758694,
0.2185,19.5,-0.27720494,0.27720494,
0.2185,19.625,-0.278644019,0.278644019,
0.2185,19.75,-0.280075312,0.280075312,
0.2185,19.875,-0.281498238,0.281498238,
0.2185,20,-0.282912255,0.282912255,
0.2185,20.125,-0.28431686,0.28431686,
0.2185,20.25,-0.285711589,0.285711589,
0.2185,20.375,-0.287096013,0.287096013,
0.2185,20.5,-0.288469747,0.288469747,
0.2185,20.625,-0.289832443,0.289832443,
0.2185,20.75,-0.291183799,0.291183799,
0.2185,20.875,-0.292523558,0.292523558,
0.2185,21,-0.293851514,0.293851514,
